customer,location,product,type,productId,Date
,SSP-CPS,Food Container (S),return,0dff7feb-f0fc-4893-bba3-b76e207c4c4b,"May 27, 2022"
,SSP-CPS,Food Container (S),return,0cf13de4-8d25-4815-939e-740f8f25cac0,"May 27, 2022"
,SSP-CPS,Food Container (S),return,0d23c353-cc6b-4ada-88a2-d051526a97ed,"May 27, 2022"
,SSP-CPS,Food Container (S),return,0d0e5d0e-96fb-4751-ac76-a9ad51a7da1e,"May 27, 2022"
,SSP-CPS,Food Container (S),return,0c22f414-9d3c-4603-83c7-417780d07004,"May 27, 2022"
,SSP-CPS,Food Container (S),return,0cc889a5-8001-40f0-ba71-dadd96320f67,"May 27, 2022"
,SSP-CPS,Food Container (S),return,0b6dc5ec-5c93-4901-b430-f11d5e0985b1,"May 27, 2022"
,SSP-CPS,Food Container (S),return,0b21f8f8-6772-40cf-aaa9-d472dbe87ccd,"May 27, 2022"
,SSP-CPS,Food Container (S),return,0d112092-c7c0-47d3-9d45-9205febbd4de,"May 27, 2022"
31,SSP-CPS,Food Container (S),borrow,0d0e5d0e-96fb-4751-ac76-a9ad51a7da1e,"May 30, 2022"
32,SSP-CPS,Food Container (S),borrow,0c7a87c7-0b62-40a6-ae9d-ee095ddce6c7,"May 30, 2022"
33,SSP-CPS,Food Container (S),borrow,0c22f414-9d3c-4603-83c7-417780d07004,"May 30, 2022"
34,SSP-CPS,Food Container (S),borrow,0b6dc5ec-5c93-4901-b430-f11d5e0985b1,"May 30, 2022"
35,SSP-CPS,Food Container (S),borrow,0a3c97fe-9355-47ab-89cc-f449b4f7a416,"May 30, 2022"
36,SSP-CPS,Food Container (S),borrow,0cc889a5-8001-40f0-ba71-dadd96320f67,"May 30, 2022"
37,SSP-CPS,Food Container (S),borrow,06263e67-7f9b-4e8f-ae29-fb3b2a8782dd,"May 30, 2022"
38,SSP-CPS,Food Container (S),borrow,0b21f8f8-6772-40cf-aaa9-d472dbe87ccd,"May 30, 2022"
39,SSP-CPS,Silver Cup (M),borrow,fb093843-3e7b-478d-9a5e-d1912570e052,"May 30, 2022"
,SSP-CPS,Food Container (S),return,0b6dc5ec-5c93-4901-b430-f11d5e0985b1,"May 31, 2022"
,SSP-CPS,Food Container (S),return,0d0e5d0e-96fb-4751-ac76-a9ad51a7da1e,"May 31, 2022"
,SSP-CPS,Food Container (S),return,0c22f414-9d3c-4603-83c7-417780d07004,"May 31, 2022"
,SSP-CPS,Food Container (S),return,0b21f8f8-6772-40cf-aaa9-d472dbe87ccd,"May 31, 2022"
,SSP-CPS,Food Container (S),return,0a3c97fe-9355-47ab-89cc-f449b4f7a416,"May 31, 2022"
,SSP-CPS,Food Container (S),return,0c7a87c7-0b62-40a6-ae9d-ee095ddce6c7,"May 31, 2022"
,SSP-CPS,Food Container (S),return,0bc19c17-f23f-4a56-9237-cb320fff389b,"May 31, 2022"
,SSP-CPS,Food Container (S),return,06263e67-7f9b-4e8f-ae29-fb3b2a8782dd,"May 31, 2022"
3,SSP-CPS,Food Container (S),borrow,0d2f5ff8-1b6a-4b66-b10e-407327f9fc4a,"May 31, 2022"
7,SSP-CPS,Food Container (S),borrow,0bc19c17-f23f-4a56-9237-cb320fff389b,"May 31, 2022"
10,SSP-CPS,Food Container (S),borrow,06263e67-7f9b-4e8f-ae29-fb3b2a8782dd,"May 31, 2022"
12,SSP-CPS,Food Container (S),borrow,0c7a87c7-0b62-40a6-ae9d-ee095ddce6c7,"May 31, 2022"
9,SSP-CPS,Food Container (S),borrow,0a46b931-1328-414b-8eb6-9d3bacdebdaf,"May 31, 2022"
40,SSP-CPS,Food Container (S),borrow,0c62d30d-b06d-4274-8679-ac6c6caed5f1,"May 31, 2022"
41,SSP-CPS,Food Container (S),borrow,0d0e5d0e-96fb-4751-ac76-a9ad51a7da1e,"May 31, 2022"
42,SSP-CPS,Food Container (S),borrow,0c22f414-9d3c-4603-83c7-417780d07004,"May 31, 2022"
43,SSP-CPS,Food Container (S),borrow,0b6dc5ec-5c93-4901-b430-f11d5e0985b1,"May 31, 2022"
44,SSP-CPS,Food Container (S),borrow,0b0174e8-814a-43d6-b774-f1c1c352b010,"May 31, 2022"
45,SSP-CPS,Food Container (S),borrow,0dff7feb-f0fc-4893-bba3-b76e207c4c4b,"May 31, 2022"
46,SSP-CPS,Food Container (S),borrow,0a1babcb-0db0-4f3d-bbf7-3a68bf104c58,"May 31, 2022"
47,SSP-CPS,Food Container (S),borrow,0b18e4d9-2623-4217-b4e5-b35217d33810,"May 31, 2022"
48,SSP-CPS,Food Container (S),borrow,0b21f8f8-6772-40cf-aaa9-d472dbe87ccd,"May 31, 2022"
49,SSP-CPS,Food Container (S),borrow,0986b366-8b92-44f1-b625-7b7771417ddd,"May 31, 2022"
35,SSP-CPS,Food Container (S),borrow,0c7c942e-8668-4f16-9ad3-4edb0044ce9b,"May 31, 2022"
30,SSP-CPS,Food Container (S),borrow,0bbad8cd-c621-4a56-ad0f-de480c819579,"May 31, 2022"
29,SSP-CPS,Food Container (S),borrow,0b410765-0c37-4bd5-9300-e74841bc26e8,"May 31, 2022"
13,SSP-CPS,Food Container (S),borrow,0b0dce16-2c9c-4e2f-bde1-e17767caeb0f,"May 31, 2022"
17,SSP-CPS,Food Container (S),borrow,0af7f355-fa5e-4cca-8411-cd042547165c,"May 31, 2022"
4,SSP-CPS,Food Container (S),borrow,0c687ae4-279b-459b-ba31-c1e5290a33cd,"May 31, 2022"
2,SSP-CPS,Food Container (S),borrow,0d112092-c7c0-47d3-9d45-9205febbd4de,"May 31, 2022"
50,SSP-CPS,Food Container (S),borrow,0bbbd72d-2a24-4dd4-a201-73cbb9480fbf,"May 31, 2022"
20,SSP-CPS,Food Container (S),borrow,0a3c97fe-9355-47ab-89cc-f449b4f7a416,"May 31, 2022"
21,SSP-CPS,Food Container (S),borrow,0b9cea9e-8440-46e0-941a-e7c4b359b540,"May 31, 2022"
23,SSP-CPS,Food Container (S),borrow,0e1e070e-be15-4aef-b2d1-96f62aff217b,"May 31, 2022"
,SSP-CPS,Food Container (S),return,0b6dc5ec-5c93-4901-b430-f11d5e0985b1,"May 31, 2022"
,SSP-CPS,Food Container (S),return,0d0e5d0e-96fb-4751-ac76-a9ad51a7da1e,"May 31, 2022"
,SSP-CPS,Food Container (S),return,0c22f414-9d3c-4603-83c7-417780d07004,"May 31, 2022"
,SSP-CPS,Food Container (S),return,0b21f8f8-6772-40cf-aaa9-d472dbe87ccd,"May 31, 2022"
,SSP-CPS,Food Container (S),return,0a3c97fe-9355-47ab-89cc-f449b4f7a416,"May 31, 2022"
,SSP-CPS,Food Container (S),return,0bc19c17-f23f-4a56-9237-cb320fff389b,"May 31, 2022"
,SSP-CPS,Food Container (S),return,06263e67-7f9b-4e8f-ae29-fb3b2a8782dd,"May 31, 2022"
,SSP-CPS,Food Container (S),return,0c7a87c7-0b62-40a6-ae9d-ee095ddce6c7,"May 31, 2022"
,SSP-CPS,Food Container (S),return,0bbbd72d-2a24-4dd4-a201-73cbb9480fbf,"May 31, 2022"
,SSP-CPS,Food Container (S),return,0d2f5ff8-1b6a-4b66-b10e-407327f9fc4a,"May 31, 2022"
,SSP-CPS,Food Container (S),return,0c687ae4-279b-459b-ba31-c1e5290a33cd,"May 31, 2022"
,SSP-CPS,Food Container (S),return,0dff7feb-f0fc-4893-bba3-b76e207c4c4b,"May 31, 2022"
,SSP-CPS,Food Container (S),return,0b18e4d9-2623-4217-b4e5-b35217d33810,"May 31, 2022"
,SSP-CPS,Food Container (S),return,0a1babcb-0db0-4f3d-bbf7-3a68bf104c58,"May 31, 2022"
51,SSP-CPS,Food Container (M),borrow,0c687ae4-279b-459b-ba31-c1e5290a33cd,"May 31, 2022"
52,SSP-CPS,Food Container (M),borrow,0b18e4d9-2623-4217-b4e5-b35217d33810,"May 31, 2022"
53,SSP-CPS,Food Container (M),borrow,0d0e5d0e-96fb-4751-ac76-a9ad51a7da1e,"Jun 1, 2022"
47,SSP-CPS,Food Container (M),borrow,0a3c97fe-9355-47ab-89cc-f449b4f7a416,"Jun 1, 2022"
28,SSP-CPS,Food Container (M),borrow,0a1babcb-0db0-4f3d-bbf7-3a68bf104c58,"Jun 1, 2022"
38,SSP-CPS,Food Container (M),borrow,06263e67-7f9b-4e8f-ae29-fb3b2a8782dd,"Jun 1, 2022"
16,SSP-CPS,Silver Cup (M),borrow,9080eb13-56f4-4984-8d80-7f1ddb4dba54,"Jun 1, 2022"
19,SSP-CPS,Silver Cup (M),borrow,bcf24ba4-1d80-4ae6-a891-0b2a7faaf90d,"Jun 1, 2022"
1,SSP-CPS,Food Container (M),borrow,0bbbd72d-2a24-4dd4-a201-73cbb9480fbf,"Jun 1, 2022"
6,SSP-CPS,Food Container (M),borrow,0d2f5ff8-1b6a-4b66-b10e-407327f9fc4a,"Jun 1, 2022"
34,SSP-CPS,Food Container (M),borrow,0d112092-c7c0-47d3-9d45-9205febbd4de,"Jun 1, 2022"
,SSP-CPS,Silver Cup (M),return,fb093843-3e7b-478d-9a5e-d1912570e052,"Jun 1, 2022"
33,SSP-CPS,Food Container (M),borrow,0986b366-8b92-44f1-b625-7b7771417ddd,"Jun 1, 2022"
,SSP-CPS,Food Container (M),return,0d0e5d0e-96fb-4751-ac76-a9ad51a7da1e,"Jun 1, 2022"
,SSP-CPS,Food Container (M),return,06263e67-7f9b-4e8f-ae29-fb3b2a8782dd,"Jun 1, 2022"
,SSP-CPS,Food Container (M),return,0a1babcb-0db0-4f3d-bbf7-3a68bf104c58,"Jun 1, 2022"
,SSP-CPS,Food Container (S),return,0cfa811e-20fd-4f5c-bc7a-656377367a58,"Jun 1, 2022"
,SSP-CPS,Food Container (S),return,0af7f355-fa5e-4cca-8411-cd042547165c,"Jun 1, 2022"
,SSP-CPS,Food Container (M),return,0d2f5ff8-1b6a-4b66-b10e-407327f9fc4a,"Jun 1, 2022"
,SSP-CPS,Food Container (S),return,09ddfad6-ae60-4d63-9590-25f241d2bf67,"Jun 1, 2022"
,SSP-CPS,Food Container (M),return,0b18e4d9-2623-4217-b4e5-b35217d33810,"Jun 1, 2022"
,SSP-CPS,Food Container (M),return,0d112092-c7c0-47d3-9d45-9205febbd4de,"Jun 1, 2022"
,SSP-CPS,Food Container (M),return,0a3c97fe-9355-47ab-89cc-f449b4f7a416,"Jun 1, 2022"
,SSP-CPS,Food Container (M),return,0bbbd72d-2a24-4dd4-a201-73cbb9480fbf,"Jun 1, 2022"
3,SSP-CPS,Food Container (M),borrow,0a3c97fe-9355-47ab-89cc-f449b4f7a416,"Jun 1, 2022"
4,SSP-CPS,Food Container (M),borrow,0bbbd72d-2a24-4dd4-a201-73cbb9480fbf,"Jun 1, 2022"
