customer,location,type,Date
45,SSP-CPS,borrow,"Jun 8, 2022"
11,SSP-CPS,return,"Jun 8, 2022"
10,SSP-CPS,return,"Jun 9, 2022"
42,SSP-CPS,return,"Jun 9, 2022"
43,SSP-CPS,return,"Jun 9, 2022"
15,SSP-CPS,return,"Jun 9, 2022"
45,SSP-CPS,return,"Jun 9, 2022"
5,SSP-CPS,return,"Jun 9, 2022"
46,SSP-CPS,borrow,"Jun 8, 2022"
47,SSP-CPS,borrow,"Jun 9, 2022"
41,SSP-CPS,return,"Jun 9, 2022"
47,SSP-CPS,return,"Jun 10, 2022"
48,SSP-CPS,borrow,"Jun 10, 2022"
51,SSP-CPS,borrow,"Jun 10, 2022"
50,SSP-CPS,borrow,"Jun 13, 2022"
14,SSP-CPS,return,"Jun 10, 2022"
25,SSP-CPS,return,"Jun 13, 2022"
50,SSP-CPS,return,"Jun 13, 2022"
51,SSP-CPS,return,"Jun 13, 2022"
52,SSP-CPS,borrow,"Jun 13, 2022"
53,SSP-CPS,borrow,"Jun 13, 2022"
48,SSP-CPS,return,"Jun 13, 2022"
38,SSP-CPS,return,"Jun 14, 2022"
26,SSP-CPS,return,"Jun 14, 2022"
54,SSP-CPS,borrow,"Jun 14, 2022"
46,SSP-CPS,return,"Jun 14, 2022"
39,SSP-CPS,return,"Jun 14, 2022"
56,SSP-CPS,borrow,"Jun 14, 2022"
23,SSP-CPS,return,"Jun 14, 2022"
52,SSP-CPS,return,"Jun 15, 2022"
56,SSP-CPS,return,"Jun 16, 2022"
18,SSP-CPS,borrow,"Jun 14, 2022"
19,SSP-CPS,borrow,"Jun 16, 2022"
18,SSP-CPS,return,"Jun 16, 2022"
19,SSP-CPS,return,"Jun 16, 2022"
18,SSP-CPS,borrow,"Jun 16, 2022"
18,SSP-CPS,return,"Jun 17, 2022"
25,SSP-CPS,borrow,"Jun 17, 2022"
53,SSP-CPS,borrow,"Jun 20, 2022"
53,SSP-CPS,return,"Jun 20, 2022"
54,SSP-CPS,return,"Jun 20, 2022"
56,SSP-CPS,borrow,"Jun 20, 2022"
43,SSP-CPS,borrow,"Jun 21, 2022"
42,SSP-CPS,borrow,"Jun 21, 2022"
25,SSP-CPS,return,"Jun 21, 2022"
43,SSP-CPS,return,"Jun 21, 2022"
38,SSP-CPS,borrow,"Jun 21, 2022"
14,SSP-CPS,borrow,"Jun 22, 2022"
3,SSP-CPS,borrow,"Jun 22, 2022"
42,SSP-CPS,return,"Jun 22, 2022"
3,SSP-CPS,return,"Jun 22, 2022"
29,SSP-CPS,return,"Jun 22, 2022"
24,SSP-CPS,return,"Jun 22, 2022"
38,SSP-CPS,return,"Jun 22, 2022"
14,SSP-CPS,return,"Jun 22, 2022"
56,SSP-CPS,return,"Jun 22, 2022"
29,SSP-CPS,borrow,"Jun 22, 2022"
20,SSP-CPS,borrow,"Jun 23, 2022"
46,SSP-CPS,borrow,"Jun 24, 2022"
34,SSP-CPS,borrow,"Jun 24, 2022"
34,SSP-CPS,return,"Jun 24, 2022"
33,SSP-CPS,return,"Jun 24, 2022"
27,SSP-CPS,return,"Jun 24, 2022"
46,SSP-CPS,return,"Jun 24, 2022"
20,SSP-CPS,return,"Jun 24, 2022"
34,SSP-CPS,return,"Jun 24, 2022"
31,SSP-CPS,return,"Jun 24, 2022"
29,SSP-CPS,return,"Jun 24, 2022"
40,SSP-CPS,borrow,"Jun 24, 2022"
47,SSP-CPS,borrow,"Jun 27, 2022"
22,SSP-CPS,borrow,"Jun 27, 2022"
9,SSP-CPS,borrow,"Jun 28, 2022"
4,SSP-CPS,borrow,"Jun 28, 2022"
1,SSP-CPS,borrow,"Jun 28, 2022"
31,SSP-CPS,borrow,"Jun 28, 2022"
47,SSP-CPS,return,"Jun 28, 2022"
4,SSP-CPS,return,"Jun 28, 2022"
39,SSP-CPS,borrow,"Jun 28, 2022"
